2025-12-15 20:15:28 | Gian | ID202512011709 | AceRoll | Loss | -400.00 | 20800.00
2025-12-15 20:16:04 | Gian | ID202512011709 | AceRoll | Win | 2080.00 | 21840.00
2025-12-15 20:16:30 | Gian | ID202512011709 | AceRoll | Loss | -20.00 | 21830.00
2025-12-15 20:31:36 | 123 | ID202512151503 | AceRoll | Loss | -6.00 | 39.88
2025-12-15 20:34:51 | 123 | ID202512151503 | AceRoll | Loss | -39.20 | 20.28
2025-12-15 20:39:41 | 123 | ID202512151503 | AceRoll | Loss | -26.00 | 7.28
2025-12-15 20:42:42 | 123 | ID202512151503 | AceRoll | Loss | -8.40 | 3.08
2025-12-15 20:44:36 | 123 | ID202512151503 | AceRoll | Loss | -4.00 | 1.08
2025-12-15 20:46:01 | 123 | ID202512151503 | AceRoll | Loss | -2.00 | 0.08
2025-12-15 20:46:09 | 123 | ID202512151503 | SYSTEM | CASH_IN | 10000.00 | 10000.08
2025-12-15 20:46:26 | 123 | ID202512151503 | AceRoll | Win | 36.00 | 10012.08
2025-12-15 20:46:51 | 123 | ID202512151503 | AceRoll | Loss | -4.00 | 10010.08
2025-12-15 20:51:25 | Gian | ID202512011709 | AceRoll | Loss | -26.00 | 21827.00
2025-12-15 20:54:39 | Gian | ID202512011709 | AceRoll | Loss | -26.00 | 21814.00
2025-12-15 20:55:00 | Gian | ID202512011709 | AceRoll | Win | 4.00 | 21815.00
2025-12-15 20:55:20 | Gian | ID202512011709 | AceRoll | Loss | -30.00 | 21800.00
